2024-07-14 15:02:45,708 - inference - INFO - training started...
2024-07-14 15:13:56,674 - inference - INFO - training started...
2024-07-14 15:32:50,859 - inference - INFO - WPP.L: exp profit=4.221856146300641e-05, MSE=0.07959169454593641
2024-07-14 15:33:05,164 - inference - INFO - MMM: exp profit=0.034295312452592625, MSE=0.026812946784826805
2024-07-14 15:33:15,743 - inference - INFO - AOS: exp profit=0.06277720846995191, MSE=0.030723340176053365
2024-07-14 15:33:26,857 - inference - INFO - ABT: exp profit=0.07147012008418095, MSE=0.015030036144443943
2024-07-14 15:33:29,999 - inference - INFO - ABBV: exp profit=0.020839446787430372, MSE=0.018293107500912942
2024-07-14 15:33:35,094 - inference - INFO - ACN: exp profit=0.11375713694252121, MSE=0.023133737348863505
2024-07-14 15:33:43,735 - inference - INFO - ADBE: exp profit=0.08097364595994297, MSE=0.06603281846530948
2024-07-14 15:33:56,204 - inference - INFO - AMD: exp profit=-0.042773118346035206, MSE=0.13099922411497683
2024-07-14 15:34:04,912 - inference - INFO - AES: exp profit=0.03772944972510445, MSE=0.09237475443974774
2024-07-14 15:34:16,921 - inference - INFO - AFL: exp profit=0.08564682835101797, MSE=0.03196751093756104
2024-07-14 15:34:23,012 - inference - INFO - A: exp profit=0.08136125293663858, MSE=0.03434878542937489
2024-07-14 15:34:33,423 - inference - INFO - APD: exp profit=0.07231079313320884, MSE=0.022724957915743475
2024-07-14 15:34:39,770 - inference - INFO - AKAM: exp profit=0.06803741253612736, MSE=0.0403107935653164
2024-07-14 15:34:47,953 - inference - INFO - ALB: exp profit=0.11592593668046614, MSE=0.11341939796228856
2024-07-14 15:34:55,831 - inference - INFO - ARE: exp profit=0.06894807460696867, MSE=0.030754030454426626
2024-07-14 15:35:01,915 - inference - INFO - ALGN: exp profit=0.14559425504317505, MSE=0.19191782975524035
2024-07-14 15:35:04,232 - inference - INFO - ALLE: exp profit=0.10023179549774075, MSE=0.02900828981635544
2024-07-14 15:35:14,471 - inference - INFO - LNT: exp profit=0.05156308426661611, MSE=0.01085654537624585
2024-07-14 15:35:21,482 - inference - INFO - ALL: exp profit=0.06906754365621566, MSE=0.027615611990208205
2024-07-14 15:35:26,076 - inference - INFO - GOOGL: exp profit=0.0373560208665155, MSE=0.038282781472717645
2024-07-14 15:35:30,196 - inference - INFO - GOOG: exp profit=0.03470349635492074, MSE=0.03856206742289439
2024-07-14 15:35:43,723 - inference - INFO - MO: exp profit=0.08268602602047764, MSE=0.02048496678224845
2024-07-14 15:35:51,209 - inference - INFO - AMZN: exp profit=0.16060709825002512, MSE=0.05721802126596587
2024-07-14 15:35:54,231 - inference - INFO - AMCR: exp profit=0.05298354323287632, MSE=0.014054788812546263
2024-07-14 15:36:01,512 - inference - INFO - AEE: exp profit=0.01779647222430374, MSE=0.008958077610276763
2024-07-14 15:36:05,902 - inference - INFO - AAL: exp profit=0.036217639200822924, MSE=0.12385974719713873
2024-07-14 15:36:18,523 - inference - INFO - AEP: exp profit=0.04741952289872554, MSE=0.01267608264246215
2024-07-14 15:36:34,185 - inference - INFO - AXP: exp profit=0.06527452934785004, MSE=0.03683189577873169
2024-07-14 15:36:47,715 - inference - INFO - AIG: exp profit=0.04899045913375258, MSE=0.09354392338025977
2024-07-14 15:36:53,821 - inference - INFO - AMT: exp profit=0.09366249162628917, MSE=0.024073773538990803
2024-07-14 15:36:57,311 - inference - INFO - AWK: exp profit=0.11206946579301316, MSE=0.022276014893682874
2024-07-14 15:37:01,961 - inference - INFO - AMP: exp profit=0.057269974233652876, MSE=0.032018645722662345
2024-07-14 15:37:10,891 - inference - INFO - AME: exp profit=0.07569152168132784, MSE=0.018289675492521747
2024-07-14 15:37:22,634 - inference - INFO - AMGN: exp profit=0.10478168198557708, MSE=0.02064016189288362
2024-07-14 15:37:31,254 - inference - INFO - APH: exp profit=0.07476602232165912, MSE=0.02247435001257529
2024-07-14 15:37:42,997 - inference - INFO - ADI: exp profit=0.10995790733439377, MSE=0.015451858214043592
2024-07-14 15:37:51,884 - inference - INFO - ANSS: exp profit=0.13459259020371545, MSE=0.03968513160367884
2024-07-14 15:38:05,461 - inference - INFO - AON: exp profit=0.08135720056067151, MSE=0.016446499030917924
2024-07-14 15:38:19,120 - inference - INFO - APA: exp profit=0.04672127470471231, MSE=0.18082326246351413
2024-07-14 15:38:32,245 - inference - INFO - AAPL: exp profit=0.04335168014347631, MSE=0.03159778252081875
2024-07-14 15:38:44,583 - inference - INFO - AMAT: exp profit=0.10776825359163525, MSE=0.07629890691201432
2024-07-14 15:38:47,545 - inference - INFO - APTV: exp profit=0.046477395259240176, MSE=0.08186861070640776
2024-07-14 15:38:53,764 - inference - INFO - ACGL: exp profit=0.06677346335813525, MSE=0.03872511881326998
2024-07-14 15:39:04,174 - inference - INFO - ADM: exp profit=0.04952041030599397, MSE=0.04000815966576704
2024-07-14 15:39:12,284 - inference - INFO - AJG: exp profit=0.04902713888524779, MSE=0.01133961274417011
2024-07-14 15:39:18,062 - inference - INFO - AIZ: exp profit=0.046653019200953785, MSE=0.03704823614083599
2024-07-14 15:39:27,312 - inference - INFO - T: exp profit=0.06068878536181334, MSE=0.023857146203635687
2024-07-14 15:39:35,105 - inference - INFO - ATO: exp profit=0.06408991298242431, MSE=0.009472725149753662
2024-07-14 15:39:44,261 - inference - INFO - ADSK: exp profit=0.0836616976488283, MSE=0.04664737914405224
2024-07-14 15:39:54,475 - inference - INFO - ADP: exp profit=0.07278449945095447, MSE=0.01939156356135398
2024-07-14 15:40:04,522 - inference - INFO - AZO: exp profit=0.07180067774986343, MSE=0.015351697304468224
2024-07-14 15:40:11,521 - inference - INFO - AVB: exp profit=0.0780614391097818, MSE=0.03296233794475888
2024-07-14 15:40:23,226 - inference - INFO - AVY: exp profit=0.05342432338845761, MSE=0.0310938851300437
2024-07-14 15:40:29,789 - inference - INFO - AXON: exp profit=-0.05015855109403761, MSE=0.12480120601083508
2024-07-14 15:40:41,733 - inference - INFO - BKR: exp profit=0.024432520994977516, MSE=0.06639543397439913
2024-07-14 15:40:54,413 - inference - INFO - BALL: exp profit=0.051777323482028036, MSE=0.04988958329072765
2024-07-14 15:41:08,129 - inference - INFO - BAC: exp profit=0.04499760757608464, MSE=0.04752090820388758
2024-07-14 15:41:20,769 - inference - INFO - BK: exp profit=0.08221263850970381, MSE=0.03451207383498843
2024-07-14 15:41:32,889 - inference - INFO - BBWI: exp profit=0.04423324061402406, MSE=0.15552090292639364
2024-07-14 15:41:42,785 - inference - INFO - BAX: exp profit=0.07389576106892838, MSE=0.03459461326623982
2024-07-14 15:41:55,223 - inference - INFO - BDX: exp profit=0.0837922009772518, MSE=0.01014132292718191
2024-07-14 15:42:07,234 - inference - INFO - BBY: exp profit=0.056753066042648806, MSE=0.03081006730458865
2024-07-14 15:42:18,225 - inference - INFO - BIO: exp profit=0.13442172382809525, MSE=0.05785476469780833
2024-07-14 15:42:26,832 - inference - INFO - TECH: exp profit=0.08729287061515412, MSE=0.052038606815078846
2024-07-14 15:42:35,199 - inference - INFO - BIIB: exp profit=0.2645501201737389, MSE=0.09826324124869833
2024-07-14 15:42:41,183 - inference - INFO - BLK: exp profit=0.09565347618010803, MSE=0.032640421009429176
2024-07-14 15:42:45,138 - inference - INFO - BX: exp profit=0.1356618672426227, MSE=0.05500359076028858
2024-07-14 15:43:08,628 - inference - INFO - BA: exp profit=0.0623850720243751, MSE=0.13011156161057447
2024-07-14 15:43:15,219 - inference - INFO - BKNG: exp profit=0.13340204290931784, MSE=0.0329213928492223
2024-07-14 15:43:22,572 - inference - INFO - BWA: exp profit=0.1108096123776463, MSE=0.048514517731989455
2024-07-14 15:43:28,593 - inference - INFO - BXP: exp profit=0.07830123331437785, MSE=0.06455646182996864
2024-07-14 15:43:36,869 - inference - INFO - BSX: exp profit=0.04976792835553386, MSE=0.021608343135649105
2024-07-14 15:43:48,884 - inference - INFO - BMY: exp profit=0.05606865812202105, MSE=0.02523886010907318
2024-07-14 15:43:53,107 - inference - INFO - AVGO: exp profit=0.1534891853581657, MSE=0.04181359715377667
2024-07-14 15:43:57,955 - inference - INFO - BR: exp profit=0.07485640822836295, MSE=0.02147402521259873
2024-07-14 15:44:08,191 - inference - INFO - BRO: exp profit=0.07418012510431926, MSE=0.01504029662615752
2024-07-14 15:44:12,755 - inference - INFO - BLDR: exp profit=-0.05534623600115439, MSE=0.13421859960029267
2024-07-14 15:44:17,722 - inference - INFO - BG: exp profit=0.06130009833451045, MSE=0.056484772508491626
2024-07-14 15:44:25,817 - inference - INFO - CDNS: exp profit=0.1072787261436606, MSE=0.03737919265969214
2024-07-14 15:44:32,048 - inference - INFO - CPT: exp profit=0.0445033153575006, MSE=0.0363139167907493
2024-07-14 15:44:43,693 - inference - INFO - CPB: exp profit=0.057463376427748354, MSE=0.020030992053373053
2024-07-14 15:44:51,105 - inference - INFO - COF: exp profit=0.01934056565489809, MSE=0.08743820859349581
2024-07-14 15:45:02,241 - inference - INFO - CAH: exp profit=0.08620607618914317, MSE=0.019491976165130136
2024-07-14 15:45:09,936 - inference - INFO - KMX: exp profit=0.06702609093403995, MSE=0.06899410648430904
2024-07-14 15:45:19,039 - inference - INFO - CCL: exp profit=0.08105397976739459, MSE=0.25844340249581726
2024-07-14 15:45:34,871 - inference - INFO - CAT: exp profit=0.07326158362025167, MSE=0.033045075289270184
2024-07-14 15:45:42,512 - inference - INFO - CBOE: exp profit=0.047885788655776466, MSE=0.027123622514875826
2024-07-14 15:45:47,634 - inference - INFO - CBRE: exp profit=-0.0027208018638647247, MSE=0.04312215493463932
2024-07-14 15:45:50,515 - inference - INFO - CDW: exp profit=0.16548189091047064, MSE=0.030849446344708216
2024-07-14 15:45:55,244 - inference - INFO - CE: exp profit=0.08201168313944082, MSE=0.057770875354213894
2024-07-14 15:46:04,676 - inference - INFO - COR: exp profit=0.05319373258048796, MSE=0.009762958987245064
2024-07-14 15:46:10,979 - inference - INFO - CNC: exp profit=0.049146103341918844, MSE=0.0227362176181861
2024-07-14 15:46:26,832 - inference - INFO - CNP: exp profit=0.05141691182011995, MSE=0.03870556486255803
2024-07-14 15:46:32,665 - inference - INFO - CF: exp profit=0.10364443309917691, MSE=0.07958755921053276
2024-07-14 15:46:40,686 - inference - INFO - CHRW: exp profit=0.08736338737286731, MSE=0.027601418484183852
2024-07-14 15:46:45,951 - inference - INFO - CRL: exp profit=0.07147316895665354, MSE=0.08072918361612133
2024-07-14 15:46:55,674 - inference - INFO - SCHW: exp profit=0.10864007042981103, MSE=0.0815764976277939
2024-07-14 15:46:58,911 - inference - INFO - CHTR: exp profit=0.09693049729392689, MSE=0.08335161632456617
2024-07-14 15:47:12,510 - inference - INFO - CVX: exp profit=0.06889499130663708, MSE=0.04030204318982738
2024-07-14 15:47:16,985 - inference - INFO - CMG: exp profit=0.20682812807735582, MSE=0.04053800846336437
2024-07-14 15:47:23,587 - inference - INFO - CB: exp profit=0.08223968370943913, MSE=0.02526414224399106
